Date,MinTemp,MaxTemp,Rainfall,Evaporation,Sunshine,WindGustDir,WindGustSpeed,WindDir9am,WindDir3pm,WindSpeed9am,WindSpeed3pm,Humidity9am,Humidity3pm,Pressure9am,Pressure3pm,Cloud9am,Cloud3pm,Temp9am,Temp3pm,RainToday,RainTomorrow
2/1/2008,19.5,22.4,15.6,6.2,0,W,41,S,SSW,17,20,92,84,1017.6,1017.4,8,8,20.7,20.9,Yes,Yes
2/2/2008,19.5,25.6,6,3.4,2.7,W,41,W,E,9,13,83,73,1017.9,1016.4,7,7,22.4,24.8,Yes,Yes
2/3/2008,21.6,24.5,6.6,2.4,0.1,W,41,ESE,ESE,17,2,88,86,1016.7,1015.6,7,8,23.5,23,Yes,Yes
2/4/2008,20.2,22.8,18.8,2.2,0,W,41,NNE,E,22,20,83,90,1014.2,1011.8,8,8,21.4,20.9,Yes,Yes
2/5/2008,19.7,25.7,77.4,4.8,0,W,41,NNE,W,11,6,88,74,1008.3,1004.8,8,8,22.5,25.5,Yes,Yes
2/6/2008,20.2,27.2,1.6,2.6,8.6,W,41,W,ENE,9,22,69,62,1002.7,998.6,6,6,23.8,26,Yes,Yes
2/7/2008,18.6,26.3,6.2,5.2,5.2,W,41,W,S,15,15,75,80,999,1000.3,4,7,21.7,22.3,Yes,Yes
2/8/2008,17.2,22.3,27.6,5.8,2.1,W,41,S,SE,7,15,77,61,1008.3,1007.4,7,8,18.9,21.1,Yes,Yes
2/9/2008,16.4,20.8,12.6,4.8,3,W,41,SSW,W,19,9,92,91,1006.4,1007.6,7,7,17.1,16.5,Yes,Yes
2/10/2008,14.6,24.2,8.8,4.4,10.1,W,41,W,SSE,11,20,80,53,1014,1013.4,4,2,17.2,23.3,Yes,No
2/11/2008,16.4,23.9,0,6.4,8,W,41,WNW,E,9,26,78,53,1017.6,1015.3,7,8,18.9,23.7,No,No
2/12/2008,18.9,27.3,0,6.8,6.7,W,41,N,NE,7,24,68,67,1010.7,1007.5,7,7,22.9,24.7,No,Yes
2/13/2008,18.4,22.8,14.4,7,3.3,W,41,S,S,24,30,87,70,1009.2,1011.7,8,7,20.9,21,Yes,Yes
2/14/2008,16.9,24.3,3,3.2,8.7,W,41,SSW,SSE,15,19,81,51,1017.2,1016.5,7,1,18.4,23.3,Yes,No
2/15/2008,18.3,24.4,0,6.2,8.5,W,41,SW,SSE,19,22,80,56,1020.2,1018.9,7,3,19.5,23.8,No,No
2/16/2008,16.7,24.1,0,6.2,8.8,W,41,WNW,SSE,11,26,77,52,1023,1022.6,7,6,19.8,23.3,No,No
2/17/2008,19.5,24.8,0,7.6,3.2,W,41,SE,ESE,13,24,63,62,1024.7,1023.1,7,7,21.8,23.4,No,No
2/18/2008,18.6,25.3,0,4.2,4.5,W,41,SSE,ENE,13,24,70,59,1021.7,1019.4,7,6,21.2,23.8,No,No
2/19/2008,19,24.8,0,5.2,7.5,W,41,WNW,E,7,17,79,65,1018,1015.4,7,7,20.8,23.4,No,No
2/20/2008,18.3,26.4,0,4.6,11.1,W,41,W,E,13,22,80,60,1013.4,1010.8,3,1,21.3,25.2,No,No
2/21/2008,20.6,26.8,0,6.8,6.4,W,41,WNW,SE,4,15,86,62,1011.4,1009.7,7,7,22.1,24.9,No,No
2/22/2008,19.1,25.4,0.4,4.4,9.4,W,41,WNW,E,11,28,77,66,1009.2,1003.1,4,1,22.3,24.9,No,No
2/23/2008,20.5,26,0,6.6,12.2,W,41,WSW,ESE,20,24,38,45,1007.4,1007,1,1,22.5,24,No,No
2/24/2008,16.5,28.3,0,8.6,12,W,41,WNW,ESE,11,24,48,40,1007.9,1008,0,0,21.2,26.1,No,No
2/25/2008,20.5,24.2,0,8.6,1.5,W,41,E,E,15,20,58,54,1017.5,1016.9,7,7,21.6,23.5,No,No
2/26/2008,19.3,26.2,0,3.6,8.4,W,41,WSW,E,2,28,73,65,1018.3,1015.6,1,6,23,25.8,No,Yes
2/27/2008,19,29,22.2,8.2,3.3,W,41,W,NNE,0,15,82,52,1014.1,1010.6,7,7,21.3,24.7,Yes,Yes
2/28/2008,17.9,21.4,4.2,4.2,0,W,41,S,ESE,20,9,77,88,1010,1010.1,8,8,20.4,19.2,Yes,Yes
2/29/2008,14.7,20.6,33,7,8.9,W,41,SW,S,24,28,65,51,1015.3,1015.6,5,3,17.1,19.9,Yes,No
3/1/2008,12.8,22,0.2,6.2,11.3,W,41,W,SSE,19,31,55,46,1020.9,1020.6,0,1,15.9,21.2,No,Yes
3/2/2008,14.2,23.4,5.4,6.4,7.3,W,41,W,SE,13,17,93,54,1026.2,1025.2,7,2,15.1,22.4,Yes,No
3/3/2008,15,23.1,0.2,2.6,11.2,W,41,W,ENE,15,19,78,57,1025.8,1022.5,1,1,18.2,22.5,No,No
3/4/2008,15.5,25.4,0,6.8,11.3,W,41,WNW,E,9,19,77,57,1020.5,1018.6,0,2,18.7,23.8,No,No
3/5/2008,18.7,25.8,0,6,8.7,W,41,S,ESE,19,22,72,64,1024.8,1024.2,6,3,22.6,24.1,No,No
3/6/2008,19.6,26,0,5,10.4,W,41,N,ENE,11,19,67,65,1024.2,1019.8,1,1,22.1,24.7,No,No
3/7/2008,19.9,24.9,0,7.6,4.5,W,41,SSW,SSE,13,24,83,75,1021.3,1020.7,5,7,22.9,23.3,No,Yes
3/8/2008,16.5,24.8,17.4,6,9.6,W,41,WNW,E,9,22,88,71,1023.4,1022.3,1,2,18.8,21.5,Yes,No
3/9/2008,16.4,24.3,0,4.6,10.2,W,41,W,E,9,19,82,64,1025.5,1025.2,1,2,19.7,23.8,No,No
3/10/2008,19.3,26.3,0,4.6,10.8,W,41,WNW,NE,9,24,76,50,1025.1,1022.5,1,0,22.9,25.5,No,No
3/11/2008,18.6,26.1,0,7.6,11.3,W,41,ENE,E,2,20,72,58,1022,1021.4,0,0,21.9,26,No,No
3/12/2008,19.3,26.4,0,7,11.1,W,41,W,NE,7,22,77,60,1021.9,1018.8,1,1,22.2,25,No,No
3/13/2008,19.2,26.1,0,6,10.6,W,41,WNW,ESE,6,20,84,69,1019.7,1019,1,4,22.4,25.3,No,No
3/14/2008,18.8,26,0,5.4,11,W,41,W,ENE,9,24,84,62,1022.8,1020,3,1,21.8,25.7,No,No
3/15/2008,19.3,26.1,0,7,11.3,W,41,NW,ENE,2,20,80,64,1022.1,1020.9,1,1,22.5,25.6,No,No
3/16/2008,19.7,25.8,0,5.6,10.1,W,41,W,E,7,24,81,69,1024.6,1022.6,2,2,22.8,24.7,No,No
3/17/2008,19.5,25.7,0,6.4,10,W,41,WNW,E,4,19,82,60,1024.8,1022.8,4,1,22,25.4,No,No
3/18/2008,19,26.7,0,8,9.7,W,41,N,ENE,11,20,73,58,1023.3,1020,0,2,22.2,25.6,No,No
3/19/2008,19.9,26.9,0,6.6,6.3,W,41,SSE,E,7,13,70,60,1021.2,1019.4,5,7,23.9,24.9,No,No
3/20/2008,19.7,28.1,0,6,10.4,W,41,NNE,NE,6,17,70,58,1014.3,1009.6,2,2,23.5,27.6,No,No
3/21/2008,17.7,19.6,1,7,0,W,41,S,SSW,26,22,87,80,1017.3,1018.9,8,8,17.8,18.4,No,Yes
3/22/2008,16.9,23.2,2.2,2.2,0.6,W,41,ESE,E,24,30,81,60,1022.8,1022.2,7,7,19.6,21.7,Yes,No
3/23/2008,16.3,24.8,0.4,4,6.1,W,41,WNW,ESE,9,13,82,57,1023.1,1020.6,5,6,18.5,24.8,No,Yes
3/24/2008,18.5,24.3,17,2.6,8,W,41,NNW,ENE,7,26,95,72,1018.7,1015.3,6,2,19.9,23.3,Yes,No
3/25/2008,19.8,27.5,0.4,6.4,2.5,W,41,NE,NNW,4,17,81,58,1011.1,1006.9,5,7,21.4,27,No,Yes
3/26/2008,17,27.2,19,2.4,10.5,W,41,W,NW,0,6,76,38,1008.9,1007.9,1,5,20.5,27.1,Yes,No
3/27/2008,15,23.6,0,5.8,11,W,41,W,ESE,20,19,52,42,1014.7,1013.4,1,1,17.5,21.8,No,No
3/28/2008,15.2,21.7,0,2.6,8.3,W,41,SSW,SE,13,17,71,51,1017.1,1016.2,4,3,18.3,21.2,No,No
3/29/2008,14.4,22.9,0.2,4.8,9.3,W,41,W,E,15,15,85,65,1015.4,1011.2,3,2,16.7,21.7,No,No
3/30/2008,13.1,26.8,0,4.6,10.9,W,41,W,WNW,22,15,61,22,1013,1009,0,1,16.9,25.9,No,No
3/31/2008,13.5,25.6,0,5.8,10.4,W,41,WNW,WNW,9,17,57,31,1015,1012.5,4,1,16.3,24.9,No,No
4/1/2008,13.7,23.9,0,6.6,11,W,41,W,ESE,20,15,55,54,1023,1021.5,1,1,16.7,23.3,No,No
4/2/2008,14.1,28.7,0,3.8,10.5,W,41,W,N,6,22,75,34,1019,1012.4,1,7,17.8,28,No,No
4/3/2008,16.4,22.2,0,10.6,9.7,W,41,SW,WSW,26,20,42,21,1009.9,1010.8,6,1,16.6,21.2,No,No
4/4/2008,11.2,22.2,0,7.6,10.6,W,41,W,E,24,15,47,37,1020.8,1019.2,1,0,13.9,21,No,No
4/5/2008,11.6,22.7,0,4.2,10.7,W,41,WNW,E,13,17,71,50,1024.5,1023.4,0,1,15.2,21,No,No
4/6/2008,13.1,22.7,0,3.6,6.4,W,41,W,ESE,13,20,71,55,1027.2,1024.6,5,6,17.7,22.1,No,Yes
4/7/2008,15.3,22,12,3.2,4.7,W,41,SSW,SSE,11,15,83,70,1026.3,1024.2,5,6,18.2,19.8,Yes,Yes
4/8/2008,14.6,22.1,9.6,5.4,5.1,W,41,SE,SE,20,17,86,75,1026.5,1024.1,6,6,17,18.9,Yes,Yes
4/9/2008,15.6,22.2,22.8,5.4,5.8,W,41,W,E,13,20,96,62,1024.6,1021.4,7,5,16.3,21.1,Yes,Yes
4/10/2008,13.8,22.7,2.2,3.6,10.6,W,41,W,E,15,15,77,60,1022.1,1019.7,5,1,18.7,21.9,Yes,No
4/11/2008,14.1,23.5,0,3.2,8.9,W,41,W,E,15,15,83,61,1020.1,1017.5,4,2,17.1,22.1,No,No
4/12/2008,14,23.8,0,4,7.8,W,41,W,E,11,9,79,59,1018.6,1016,7,4,17.6,22.2,No,No
4/13/2008,15.1,22.7,0,1.8,6.6,W,41,W,ESE,11,4,81,75,1016.4,1013.4,5,6,17.4,19.7,No,Yes
4/14/2008,13.2,18.9,11,3.2,5.2,W,41,SSW,S,19,30,82,64,1019.6,1019.2,7,3,15.9,18.8,Yes,Yes
4/15/2008,13.8,19.7,2.8,2.8,1.7,W,41,SW,S,20,22,85,71,1025.4,1023.9,7,7,15.9,19,Yes,Yes
4/16/2008,13.8,20.9,1.4,4.6,2.2,W,41,SSW,SSW,15,20,78,85,1026.4,1024.6,7,8,17.2,16.2,Yes,Yes
4/17/2008,14.9,19.7,4.6,1.4,0.8,W,41,SSW,S,17,13,91,72,1025.1,1023.4,7,7,16.4,19.4,Yes,Yes
4/18/2008,15.3,20,6.4,3.2,0.3,W,41,W,SSE,4,15,94,75,1025.4,1023.7,8,7,16.4,19.6,Yes,Yes
4/19/2008,15.9,21.4,5,4.8,5,W,41,SE,SE,22,24,51,61,1027.2,1026.1,6,7,19.3,19.5,Yes,Yes
4/20/2008,15.2,19.1,2.8,4,1.3,W,41,ESE,S,15,6,79,75,1026.6,1023.7,7,6,17.3,18.4,Yes,Yes
4/21/2008,14.7,19.3,21.8,7.5,4.6,W,41,SSW,S,9,19,91,70,1023.2,1021.4,8,7,16.6,19,Yes,Yes
4/22/2008,14.4,20.3,10.2,3.6,2,W,41,SSE,SE,9,20,90,55,1023.6,1022.3,7,5,16.1,20.1,Yes,Yes
4/23/2008,14.7,17.9,12.6,4,0.7,W,41,SW,SSE,6,22,90,89,1024,1022.1,7,7,16.2,17.2,Yes,Yes
4/24/2008,14.7,20,15.6,1.6,2.5,W,41,S,S,19,20,93,80,1021.3,1018.6,7,7,16.8,19.3,Yes,Yes
4/26/2008,12.7,24.8,0.4,2.6,10.2,W,41,W,E,15,6,81,38,1011.2,1007,2,7,15.6,24.6,No,No
4/27/2008,15.6,26.1,0,5.2,7.6,W,41,NNW,N,20,22,51,28,1005.2,999.1,6,2,20.3,25.7,No,No
4/28/2008,11.9,16.8,0,7.6,8.5,W,41,W,WSW,20,24,46,33,1007.4,1008.6,2,6,13.7,15.6,No,No
4/29/2008,8.6,18.4,0,3.8,10.5,W,41,W,SSE,24,9,54,41,1020.4,1019.8,1,1,11.7,17.8,No,No
4/30/2008,8.4,19.6,0,3.6,9.8,W,41,W,E,15,17,68,50,1024.2,1021.3,1,3,11.6,18.1,No,No
5/1/2008,11.6,18.2,0,4,2.7,W,41,WNW,W,11,7,74,56,1019.7,1016.7,7,7,13.4,18.1,No,No
5/2/2008,10.8,22.2,0,2.4,9.1,W,41,W,WSW,19,17,65,44,1018.7,1015.3,1,3,14.5,21.7,No,No
5/3/2008,10.9,19.6,0,3.4,10.5,W,41,W,SSE,19,11,62,52,1019.3,1016.9,1,1,14.1,18.6,No,No
5/4/2008,9.4,20.3,0,3.6,10.3,W,41,W,SE,22,11,64,47,1021.1,1018.3,1,1,12.4,19.4,No,No
5/5/2008,9.4,22.3,0,2,10,W,41,W,NW,15,7,71,34,1018.7,1015.2,1,2,12.4,22.2,No,No
5/6/2008,11.8,23.6,0,3.4,3.1,W,41,W,WNW,9,9,74,48,1017.1,1013.3,6,7,13.7,21.1,No,No
5/7/2008,13,23,0,3.6,9.4,W,41,W,SSE,22,13,57,44,1014.3,1011.8,1,3,16.5,22,No,No
5/8/2008,11,21.8,0,3.2,10.2,W,41,W,S,24,15,63,45,1019.2,1017.5,1,1,14,20.8,No,No
5/9/2008,11,21.9,0,3.2,10.1,W,41,W,SE,17,11,75,60,1021.4,1020.2,0,1,14.3,20.6,No,No
5/10/2008,12.6,21.3,0,3,9.6,W,41,WNW,E,11,11,86,67,1022.2,1019.6,1,1,15.2,19.3,No,No
5/11/2008,14,19.4,0,1.2,2.1,W,41,WNW,SSE,13,15,84,67,1023.1,1021.2,7,7,16.8,18.7,No,No
5/12/2008,12.4,19.5,0,1.6,7.3,W,41,W,E,11,15,88,63,1023.5,1020.5,1,1,14.9,19.2,No,No
5/13/2008,13.2,19.7,0,1.8,4.2,W,41,W,E,11,9,88,67,1023.4,1021.7,6,7,15,18.1,No,No
5/14/2008,11.2,20.6,0,2,9.7,W,41,W,ENE,20,19,82,64,1023.8,1020.5,1,1,13.8,20,No,No
5/15/2008,12,21.4,0.2,3.2,8.7,W,41,W,E,13,9,90,60,1022.2,1017.8,1,1,13.9,21.3,No,Yes
5/16/2008,13.8,23.2,1.2,2.2,6.4,W,41,WNW,NE,15,15,78,66,1017.1,1013,6,2,15.9,20.9,Yes,No
5/17/2008,15.2,21.8,0,4.2,6.9,W,41,NNW,NNW,20,17,52,41,1008.4,1003.6,3,7,19.2,20.9,No,No
5/18/2008,8.8,17.8,0,4.2,9.4,W,41,W,W,19,31,57,36,1007,1006.3,1,1,11.6,17,No,No
5/19/2008,10.7,20.5,0,4.4,9.9,W,41,W,WNW,22,7,58,36,1015.7,1013.3,1,0,12.5,20.3,No,No
5/20/2008,10.3,21.7,0,3,10,W,41,W,W,24,7,64,38,1020.1,1017.5,1,1,13,21.3,No,No
5/21/2008,11.1,18.9,0,2.4,6.1,W,41,WNW,S,19,22,74,64,1022.4,1022.8,4,7,13.5,17.3,No,No
5/22/2008,11.9,18.7,0,4,7.5,W,41,SSW,SSE,20,19,63,52,1028.2,1026.2,1,2,15.1,17.4,No,No
5/23/2008,11,18.4,0,3.4,5.4,W,41,WNW,SSE,17,13,76,53,1026.9,1024.6,1,5,12.7,17.1,No,No
5/24/2008,11.4,20.1,0,2.4,9.1,W,41,W,NW,13,2,71,39,1025.4,1022.7,1,1,13.3,19.3,No,No
5/25/2008,8.8,18.3,0,3.6,6.5,W,41,W,ENE,17,11,78,58,1025.1,1022.2,4,3,11.1,16.9,No,No
5/26/2008,10.9,21.1,0.4,0.4,9.1,W,41,W,ENE,20,13,81,58,1025.9,1022.6,6,2,12.9,19.5,No,No
5/27/2008,11.5,22.4,0,3.2,8.7,W,41,W,E,15,13,82,71,1024.6,1021.8,3,1,13.6,19.1,No,No
5/28/2008,11,19.2,0,1.6,3.9,W,41,W,NE,26,2,80,74,1025.6,1023.9,3,6,12.8,18.6,No,No
5/29/2008,11,18.6,1,1,4.6,W,41,W,S,19,4,86,76,1030.2,1029.1,3,2,12.7,17.6,No,No
5/30/2008,10.9,21,0.2,1.4,5.6,W,41,W,E,19,7,87,58,1032,1028.7,1,2,12.7,19.6,No,No
5/31/2008,10.8,20.1,0,1,9.4,W,41,WNW,SSE,17,17,90,61,1028.6,1026.66,1,1,11.7,19.4,No,No
6/1/2008,11.6,20.5,0.2,2.2,0.3,W,41,W,SE,19,17,91,74,1029.3,1027,7,7,14.3,18.7,No,Yes
6/2/2008,14.3,17.6,22,1.8,0.1,W,41,W,W,9,7,97,90,1027.3,1024.8,8,7,15.3,17.1,Yes,Yes
6/3/2008,15.2,19.1,4,0.4,0,W,41,W,E,17,22,98,90,1026.4,1024.1,8,8,15.6,16.7,Yes,Yes
6/4/2008,15.5,18.3,9.2,2.4,0,W,41,SE,ESE,19,26,87,88,1023.1,1020.5,8,8,17.5,17.2,Yes,Yes
6/5/2008,15.2,16.9,46.4,2.4,0,W,41,SSW,S,24,24,82,84,1020.1,1018.6,7,8,16,16.6,Yes,Yes
6/6/2008,14.7,17.4,12.4,0.4,1.8,W,41,WSW,SSW,15,24,81,70,1021.2,1020.3,7,6,15.1,16.6,Yes,No
6/7/2008,11.7,18.2,0,2.2,8.8,W,41,W,S,19,24,76,49,1025,1025.7,1,1,13.3,17.9,No,Yes
6/8/2008,12.7,17.7,6,1.4,0.5,W,41,WNW,ESE,17,17,97,71,1032.1,1029.8,8,7,14.1,17.2,Yes,Yes
6/9/2008,13,16.9,3.6,1.2,1.2,W,41,W,ESE,13,2,96,89,1030.9,1028,7,8,13.9,16.2,Yes,Yes
6/10/2008,12.4,19.9,1.6,1.6,3.9,W,41,W,N,13,9,98,68,1027.5,1023.9,7,1,13.2,19.1,Yes,No
6/11/2008,13.2,19.9,0,1.8,0,W,41,NNW,N,6,4,74,70,1022.9,1020.6,7,8,17.3,19.6,No,Yes
6/12/2008,13.7,22.1,5.4,1.8,6.9,W,41,W,ENE,11,7,97,64,1022.4,1018.1,8,1,14.1,20.1,Yes,No
6/13/2008,14,18.8,0,3.4,8.6,W,41,NW,WSW,20,26,67,42,1012.2,1011.5,1,2,16.6,16.7,No,No
6/14/2008,9.6,14.6,0,3.8,3.4,W,41,W,SW,30,24,49,52,1022,1022.5,5,7,11.2,14.1,No,No
6/15/2008,10.6,15.3,0,2.8,0.1,W,41,SSW,SSW,24,26,75,87,1024.4,1022.8,7,8,13.7,14.5,No,Yes
6/16/2008,13.3,16.8,7.2,5,2.4,W,41,SSW,SSW,19,20,86,83,1024.2,1023,6,7,15,15.8,Yes,Yes
6/17/2008,13.1,17.5,3.4,0.8,1.3,W,41,W,SSW,11,13,88,73,1026.7,1024.8,7,7,14.2,17.3,Yes,No
6/18/2008,13.6,19.4,0,1.6,4.1,W,41,W,NE,13,2,90,69,1025.5,1022.1,7,8,14.8,19.2,No,No
6/19/2008,12.8,20.3,0,2,5,W,41,WNW,ESE,13,13,91,69,1020.3,1017.4,6,7,13.9,18.6,No,Yes
6/20/2008,13.8,17.9,3.6,0.6,0.6,W,41,W,W,19,19,81,60,1018.3,1016.2,7,7,14.3,17.2,Yes,Yes
6/21/2008,11.6,18.5,2.2,1.8,9.4,W,41,W,WSW,15,17,66,40,1020.7,1018.9,1,1,13.2,18,Yes,No
6/22/2008,9.7,17.3,0,3.4,9.3,W,41,W,SSW,22,22,61,54,1023.2,1024,1,3,11.4,16.3,No,No
6/23/2008,8.2,17.1,0,3.4,7,W,41,WNW,WSW,13,13,74,43,1023.7,1020.4,1,7,9.9,17,No,No
6/24/2008,9.2,19.2,0,1.8,9.2,W,41,W,WNW,19,9,72,45,1027,1023.1,1,1,10.7,18.8,No,No
